Filename:	C:\Documents and Settings\SOON KI\Desktop\Tanner\Oligomer in EEC 6-11-21\Lightintensity PHEA-coBA in EEC 6-17-21\80 mW 3 cont.dcd 
Operator ID:	AK 
Sample ID:	Epoxy w/ P(HEA-coBA) 3 cont 
Comment:	80.50 mW/cm2 
Serial Number:	 
Data Collected:	6/17/2021 4:34:41 PM 
Sample Weight:	3.670 mg 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\Indium Temperature Calibration 2-22-2021 TG.dcc 
Date/Time:	 
Initial Conditions 
Temperature:	 
Y Initial:	 
Sample Rate:	 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	24000 
Method Steps: 
Pre-Run Actions 
	Start the Run 
		Action occurs Immediately 
	Switch the Gas to Nitrogen at 20.0 ml/min  
		Action occurs Immediately 
1)	Hold for 20.0 min at 35.00¡ÆC 
 
1) DSC Isothermal	Time	Unsubtracted Heat Flow	Baseline Heat Flow	ProgramTemperature	Sample Temperature	Approx. Gas Flow 
	0.000000	0.000000	0.000000	35.000000	25.875000	0.000000 
	0.000833	0.000101	0.000000	35.000000	25.876000	0.000000 
	0.001667	0.000101	0.000000	35.000000	25.875000	0.000000 
	0.002500	0.000203	0.000000	35.000000	25.876000	0.000000 
	0.003333	0.000304	0.000000	35.000000	25.875000	0.000000 
	0.004167	0.000304	0.000000	35.000000	25.875000	0.000000 
	0.005000	0.000405	0.000000	35.000000	25.875000	0.000000 
	0.005833	0.000405	0.000000	35.000000	25.876000	0.000000 
	0.006667	0.000405	0.000000	35.000000	25.875000	0.000000 
	0.007500	0.000405	0.000000	35.000000	25.875000	0.000000 
	0.008333	0.000304	0.000000	35.000000	25.875000	0.000000 
	0.009167	0.000101	0.000000	35.000000	25.876000	0.000000 
	0.010000	0.000000	0.000000	35.000000	25.875000	0.000000 
	0.010833	-0.000101	0.000000	35.000000	25.875000	0.000000 
	0.011667	0.000000	0.000000	35.000000	25.875000	0.000000 
	0.012500	0.000000	0.000000	35.000000	25.874000	0.000000 
	0.013333	0.000203	0.000000	35.000000	25.874000	0.000000 
	0.014167	0.000304	0.000000	35.000000	25.874000	0.000000 
	0.015000	0.000405	0.000000	35.000000	25.874000	0.000000 
	0.015833	0.000507	0.000000	35.000000	25.875000	0.000000 
	0.016667	0.000709	0.000000	35.000000	25.875000	0.000000 
	0.017500	0.000811	0.000000	35.000000	25.875000	0.000000 
	0.018333	0.000912	0.000000	35.000000	25.874000	0.000000 
