Filename:	C:\Documents and Settings\SOON KI\Desktop\Tanner\Oligomer in EEC 6-11-21\Lightintensity PHEA-coBA in EEC 6-17-21\80 mW 4 noncont.dcd 
Operator ID:	AK 
Sample ID:	Epoxy w/ P(HEA-coBA) 1 noncont 
Comment:	5 minutes of light at 80.50 mW/cm2 
Serial Number:	 
Data Collected:	6/17/2021 3:48:27 PM 
Sample Weight:	1.990 mg 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\Indium Temperature Calibration 2-22-2021 TG.dcc 
Date/Time:	 
Initial Conditions 
Temperature:	 
Y Initial:	 
Sample Rate:	 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	24000 
Method Steps: 
Pre-Run Actions 
	Start the Run 
		Action occurs Immediately 
	Switch the Gas to Nitrogen at 20.0 ml/min  
		Action occurs Immediately 
1)	Hold for 20.0 min at 35.00¡ÆC 
 
1) DSC Isothermal	Time	Unsubtracted Heat Flow	Baseline Heat Flow	ProgramTemperature	Sample Temperature	Approx. Gas Flow 
	5.710000	-4.611473	0.000000	35.000000	26.269000	0.000000 
	5.710833	-4.611170	0.000000	35.000000	26.268000	0.000000 
	5.711667	-4.610967	0.000000	35.000000	26.269000	0.000000 
	5.712500	-4.610866	0.000000	35.000000	26.269000	0.000000 
	5.713333	-4.610663	0.000000	35.000000	26.269000	0.000000 
	5.714167	-4.610663	0.000000	35.000000	26.269000	0.000000 
	5.715000	-4.610663	0.000000	35.000000	26.269000	0.000000 
	5.715833	-4.610663	0.000000	35.000000	26.270000	0.000000 
	5.716667	-4.610764	0.000000	35.000000	26.269000	0.000000 
	5.717500	-4.610866	0.000000	35.000000	26.269000	0.000000 
	5.718333	-4.611068	0.000000	35.000000	26.268000	0.000000 
	5.719167	-4.611170	0.000000	35.000000	26.269000	0.000000 
	5.720000	-4.611372	0.000000	35.000000	26.269000	0.000000 
	5.720833	-4.611575	0.000000	35.000000	26.269000	0.000000 
	5.721667	-4.611777	0.000000	35.000000	26.268000	0.000000 
	5.722500	-4.611879	0.000000	35.000000	26.268000	0.000000 
	5.723333	-4.611980	0.000000	35.000000	26.268000	0.000000 
	5.724167	-4.611879	0.000000	35.000000	26.268000	0.000000 
	5.725000	-4.611676	0.000000	35.000000	26.269000	0.000000 
	5.725833	-4.611473	0.000000	35.000000	26.268000	0.000000 
	5.726667	-4.611170	0.000000	35.000000	26.269000	0.000000 
	5.727500	-4.610866	0.000000	35.000000	26.269000	0.000000 
	5.728333	-4.610460	0.000000	35.000000	26.268000	0.000000 
	5.729167	-4.610055	0.000000	35.000000	26.268000	0.000000 
	5.730000	-4.609650	0.000000	35.000000	26.268000	0.000000 
	5.730833	-4.609447	0.000000	35.000000	26.269000	0.000000 
	5.731667	-4.609143	0.000000	35.000000	26.269000	0.000000 
	5.732500	-4.608839	0.000000	35.000000	26.269000	0.000000 
	5.733333	-4.608738	0.000000	35.000000	26.268000	0.000000 
	5.734167	-4.608535	0.000000	35.000000	26.268000	0.000000 
	5.735000	-4.608333	0.000000	35.000000	26.269000	0.000000 
	5.735833	-4.608130	0.000000	35.000000	26.268000	0.000000 
	5.736667	-4.608029	0.000000	35.000000	26.269000	0.000000 
	5.737500	-4.607826	0.000000	35.000000	26.269000	0.000000 
	5.738333	-4.607623	0.000000	35.000000	26.268000	0.000000 
	5.739167	-4.607421	0.000000	35.000000	26.268000	0.000000 
	5.740000	-4.607117	0.000000	35.000000	26.269000	0.000000 
	5.740833	-4.606813	0.000000	35.000000	26.269000	0.000000 
	5.741667	-4.606509	0.000000	35.000000	26.270000	0.000000 
	5.742500	-4.606205	0.000000	35.000000	26.270000	0.000000 
	5.743333	-4.606104	0.000000	35.000000	26.269000	0.000000 
	5.744167	-4.605901	0.000000	35.000000	26.270000	0.000000 
	5.745000	-4.605901	0.000000	35.000000	26.269000	0.000000 
	5.745833	-4.605901	0.000000	35.000000	26.269000	0.000000 
	5.746667	-4.605901	0.000000	35.000000	26.270000	0.000000 
	5.747500	-4.606104	0.000000	35.000000	26.270000	0.000000 
	5.748333	-4.606205	0.000000	35.000000	26.269000	0.000000 
	5.749167	-4.606306	0.000000	35.000000	26.270000	0.000000 
	5.750000	-4.606509	0.000000	35.000000	26.270000	0.000000 
	5.750833	-4.606712	0.000000	35.000000	26.270000	0.000000 
	5.751667	-4.606813	0.000000	35.000000	26.270000	0.000000 
	5.752500	-4.607015	0.000000	35.000000	26.270000	0.000000 
	5.753333	-4.607218	0.000000	35.000000	26.270000	0.000000 
	5.754167	-4.607319	0.000000	35.000000	26.270000	0.000000 
	5.755000	-4.607421	0.000000	35.000000	26.270000	0.000000 
	5.755833	-4.607522	0.000000	35.000000	26.270000	0.000000 
	5.756667	-4.607522	0.000000	35.000000	26.271000	0.000000 
	5.757500	-4.607623	0.000000	35.000000	26.271000	0.000000 
	5.758333	-4.607623	0.000000	35.000000	26.270000	0.000000 
	5.759167	-4.607725	0.000000	35.000000	26.270000	0.000000 
	5.760000	-4.607623	0.000000	35.000000	26.270000	0.000000 
	5.760833	-4.607623	0.000000	35.000000	26.270000	0.000000 
	5.761667	-4.607623	0.000000	35.000000	26.270000	0.000000 
	5.762500	-4.607725	0.000000	35.000000	26.270000	0.000000 
	5.763333	-4.607826	0.000000	35.000000	26.270000	0.000000 
	5.764167	-4.607826	0.000000	35.000000	26.269000	0.000000 
	5.765000	-4.607826	0.000000	35.000000	26.269000	0.000000 
	5.765833	-4.607725	0.000000	35.000000	26.270000	0.000000 
	5.766667	-4.607623	0.000000	35.000000	26.270000	0.000000 
	5.767500	-4.607522	0.000000	35.000000	26.269000	0.000000 
	5.768333	-4.607522	0.000000	35.000000	26.269000	0.000000 
	5.769167	-4.607421	0.000000	35.000000	26.270000	0.000000 
	5.770000	-4.607421	0.000000	35.000000	26.270000	0.000000 
	5.770833	-4.607319	0.000000	35.000000	26.270000	0.000000 
	5.771667	-4.607117	0.000000	35.000000	26.270000	0.000000 
	5.772500	-4.607015	0.000000	35.000000	26.270000	0.000000 
	5.773333	-4.606914	0.000000	35.000000	26.271000	0.000000 
	5.774167	-4.606712	0.000000	35.000000	26.271000	0.000000 
	5.775000	-4.606509	0.000000	35.000000	26.271000	0.000000 
	5.775833	-4.606408	0.000000	35.000000	26.270000	0.000000 
	5.776667	-4.606205	0.000000	35.000000	26.270000	0.000000 
	5.777500	-4.606002	0.000000	35.000000	26.270000	0.000000 
	5.778333	-4.605800	0.000000	35.000000	26.270000	0.000000 
	5.779167	-4.605597	0.000000	35.000000	26.270000	0.000000 
	5.780000	-4.605394	0.000000	35.000000	26.270000	0.000000 
	5.780833	-4.605090	0.000000	35.000000	26.271000	0.000000 
	5.781667	-4.604888	0.000000	35.000000	26.271000	0.000000 
	5.782500	-4.604787	0.000000	35.000000	26.270000	0.000000 
	5.783333	-4.604584	0.000000	35.000000	26.270000	0.000000 
	5.784167	-4.604483	0.000000	35.000000	26.270000	0.000000 
	5.785000	-4.604483	0.000000	35.000000	26.270000	0.000000 
	5.785833	-4.604381	0.000000	35.000000	26.270000	0.000000 
	5.786667	-4.604381	0.000000	35.000000	26.270000	0.000000 
	5.787500	-4.604280	0.000000	35.000000	26.270000	0.000000 
	5.788333	-4.604179	0.000000	35.000000	26.270000	0.000000 
	5.789167	-4.604077	0.000000	35.000000	26.270000	0.000000 
	5.790000	-4.603976	0.000000	35.000000	26.271000	0.000000 
	5.790833	-4.603773	0.000000	35.000000	26.271000	0.000000 
	5.791667	-4.603571	0.000000	35.000000	26.271000	0.000000 
	5.792500	-4.603469	0.000000	35.000000	26.271000	0.000000 
	5.793333	-4.603368	0.000000	35.000000	26.271000	0.000000 
	5.794167	-4.603165	0.000000	35.000000	26.271000	0.000000 
	5.795000	-4.603064	0.000000	35.000000	26.271000	0.000000 
	5.795833	-4.602963	0.000000	35.000000	26.271000	0.000000 
	5.796667	-4.602861	0.000000	35.000000	26.271000	0.000000 
	5.797500	-4.602861	0.000000	35.000000	26.271000	0.000000 
	5.798333	-4.602963	0.000000	35.000000	26.270000	0.000000 
	5.799167	-4.603064	0.000000	35.000000	26.270000	0.000000 
	5.800000	-4.603064	0.000000	35.000000	26.270000	0.000000 
	5.800833	-4.603165	0.000000	35.000000	26.270000	0.000000 
	5.801667	-4.603267	0.000000	35.000000	26.270000	0.000000 
	5.802500	-4.603368	0.000000	35.000000	26.270000	0.000000 
	5.803333	-4.603469	0.000000	35.000000	26.270000	0.000000 
	5.804167	-4.603469	0.000000	35.000000	26.270000	0.000000 
	5.805000	-4.603469	0.000000	35.000000	26.270000	0.000000 
	5.805833	-4.603469	0.000000	35.000000	26.271000	0.000000 
	5.806667	-4.603469	0.000000	35.000000	26.271000	0.000000 
	5.807500	-4.603368	0.000000	35.000000	26.270000	0.000000 
	5.808333	-4.603368	0.000000	35.000000	26.270000	0.000000 
	5.809167	-4.603165	0.000000	35.000000	26.270000	0.000000 
	5.810000	-4.603064	0.000000	35.000000	26.270000	0.000000 
	5.810833	-4.602861	0.000000	35.000000	26.270000	0.000000 
	5.811667	-4.602659	0.000000	35.000000	26.270000	0.000000 
	5.812500	-4.602456	0.000000	35.000000	26.270000	0.000000 
	5.813333	-4.602355	0.000000	35.000000	26.270000	0.000000 
	5.814167	-4.602152	0.000000	35.000000	26.271000	0.000000 
	5.815000	-4.601950	0.000000	35.000000	26.271000	0.000000 
	5.815833	-4.601747	0.000000	35.000000	26.271000	0.000000 
	5.816667	-4.601544	0.000000	35.000000	26.272000	0.000000 
	5.817500	-4.601342	0.000000	35.000000	26.272000	0.000000 
	5.818333	-4.601240	0.000000	35.000000	26.271000	0.000000 
	5.819167	-4.601139	0.000000	35.000000	26.272000	0.000000 
	5.820000	-4.600936	0.000000	35.000000	26.271000	0.000000 
	5.820833	-4.600734	0.000000	35.000000	26.272000	0.000000 
	5.821667	-4.600531	0.000000	35.000000	26.272000	0.000000 
	5.822500	-4.600329	0.000000	35.000000	26.271000	0.000000 
	5.823333	-4.600126	0.000000	35.000000	26.271000	0.000000 
	5.824167	-4.599923	0.000000	35.000000	26.270000	0.000000 
	5.825000	-4.599721	0.000000	35.000000	26.270000	0.000000 
	5.825833	-4.599417	0.000000	35.000000	26.270000	0.000000 
	5.826667	-4.599113	0.000000	35.000000	26.271000	0.000000 
	5.827500	-4.598910	0.000000	35.000000	26.270000	0.000000 
	5.828333	-4.598707	0.000000	35.000000	26.271000	0.000000 
	5.829167	-4.598505	0.000000	35.000000	26.271000	0.000000 
	5.830000	-4.598302	0.000000	35.000000	26.271000	0.000000 
	5.830833	-4.598100	0.000000	35.000000	26.271000	0.000000 
	5.831667	-4.598100	0.000000	35.000000	26.271000	0.000000 
	5.832500	-4.597998	0.000000	35.000000	26.271000	0.000000 
	5.833333	-4.597998	0.000000	35.000000	26.271000	0.000000 
	5.834167	-4.597897	0.000000	35.000000	26.270000	0.000000 
	5.835000	-4.597897	0.000000	35.000000	26.270000	0.000000 
	5.835833	-4.597897	0.000000	35.000000	26.270000	0.000000 
	5.836667	-4.597897	0.000000	35.000000	26.271000	0.000000 
	5.837500	-4.597796	0.000000	35.000000	26.271000	0.000000 
	5.838333	-4.597796	0.000000	35.000000	26.271000	0.000000 
	5.839167	-4.597694	0.000000	35.000000	26.270000	0.000000 
	5.840000	-4.597593	0.000000	35.000000	26.271000	0.000000 
	5.840833	-4.597492	0.000000	35.000000	26.271000	0.000000 
	5.841667	-4.597390	0.000000	35.000000	26.271000	0.000000 
	5.842500	-4.597390	0.000000	35.000000	26.271000	0.000000 
	5.843333	-4.597289	0.000000	35.000000	26.271000	0.000000 
	5.844167	-4.597086	0.000000	35.000000	26.271000	0.000000 
	5.845000	-4.596985	0.000000	35.000000	26.272000	0.000000 
	5.845833	-4.597086	0.000000	35.000000	26.271000	0.000000 
	5.846667	-4.597086	0.000000	35.000000	26.270000	0.000000 
	5.847500	-4.597188	0.000000	35.000000	26.270000	0.000000 
	5.848333	-4.597289	0.000000	35.000000	26.270000	0.000000 
	5.849167	-4.597492	0.000000	35.000000	26.271000	0.000000 
	5.850000	-4.597593	0.000000	35.000000	26.270000	0.000000 
	5.850833	-4.597796	0.000000	35.000000	26.270000	0.000000 
	5.851667	-4.597897	0.000000	35.000000	26.270000	0.000000 
	5.852500	-4.598201	0.000000	35.000000	26.270000	0.000000 
	5.853333	-4.598302	0.000000	35.000000	26.271000	0.000000 
	5.854167	-4.598403	0.000000	35.000000	26.271000	0.000000 
	5.855000	-4.598505	0.000000	35.000000	26.271000	0.000000 
	5.855833	-4.598403	0.000000	35.000000	26.271000	0.000000 
	5.856667	-4.598403	0.000000	35.000000	26.271000	0.000000 
	5.857500	-4.598100	0.000000	35.000000	26.271000	0.000000 
	5.858333	-4.597897	0.000000	35.000000	26.270000	0.000000 
	5.859167	-4.597694	0.000000	35.000000	26.269000	0.000000 
	5.860000	-4.597492	0.000000	35.000000	26.269000	0.000000 
	5.860833	-4.597289	0.000000	35.000000	26.269000	0.000000 
	5.861667	-4.597188	0.000000	35.000000	26.270000	0.000000 
	5.862500	-4.597086	0.000000	35.000000	26.269000	0.000000 
	5.863333	-4.597086	0.000000	35.000000	26.270000	0.000000 
	5.864167	-4.596985	0.000000	35.000000	26.270000	0.000000 
	5.865000	-4.596985	0.000000	35.000000	26.270000	0.000000 
	5.865833	-4.596884	0.000000	35.000000	26.270000	0.000000 
	5.866667	-4.596884	0.000000	35.000000	26.270000	0.000000 
	5.867500	-4.596884	0.000000	35.000000	26.271000	0.000000 
	5.868333	-4.596884	0.000000	35.000000	26.271000	0.000000 
	5.869167	-4.596985	0.000000	35.000000	26.270000	0.000000 
	5.870000	-4.597086	0.000000	35.000000	26.270000	0.000000 
	5.870833	-4.597188	0.000000	35.000000	26.271000	0.000000 
	5.871667	-4.597390	0.000000	35.000000	26.271000	0.000000 
	5.872500	-4.597492	0.000000	35.000000	26.271000	0.000000 
	5.873333	-4.597593	0.000000	35.000000	26.271000	0.000000 
	5.874167	-4.597593	0.000000	35.000000	26.271000	0.000000 
	5.875000	-4.597593	0.000000	35.000000	26.271000	0.000000 
	5.875833	-4.597492	0.000000	35.000000	26.271000	0.000000 
	5.876667	-4.597289	0.000000	35.000000	26.270000	0.000000 
	5.877500	-4.597086	0.000000	35.000000	26.270000	0.000000 
	5.878333	-4.596884	0.000000	35.000000	26.269000	0.000000 
	5.879167	-4.596782	0.000000	35.000000	26.270000	0.000000 
	5.880000	-4.596478	0.000000	35.000000	26.270000	0.000000 
	5.880833	-4.596276	0.000000	35.000000	26.270000	0.000000 
	5.881667	-4.596073	0.000000	35.000000	26.271000	0.000000 
	5.882500	-4.595871	0.000000	35.000000	26.271000	0.000000 
	5.883333	-4.595668	0.000000	35.000000	26.272000	0.000000 
	5.884167	-4.595567	0.000000	35.000000	26.271000	0.000000 
	5.885000	-4.595364	0.000000	35.000000	26.270000	0.000000 
	5.885833	-4.595263	0.000000	35.000000	26.270000	0.000000 
	5.886667	-4.595060	0.000000	35.000000	26.271000	0.000000 
	5.887500	-4.594857	0.000000	35.000000	26.271000	0.000000 
	5.888333	-4.594655	0.000000	35.000000	26.271000	0.000000 
	5.889167	-4.594351	0.000000	35.000000	26.271000	0.000000 
	5.890000	-4.594047	0.000000	35.000000	26.271000	0.000000 
	5.890833	-4.593743	0.000000	35.000000	26.271000	0.000000 
	5.891667	-4.593439	0.000000	35.000000	26.271000	0.000000 
	5.892500	-4.593135	0.000000	35.000000	26.271000	0.000000 
	5.893333	-4.592932	0.000000	35.000000	26.271000	0.000000 
	5.894167	-4.592831	0.000000	35.000000	26.270000	0.000000 
	5.895000	-4.592730	0.000000	35.000000	26.271000	0.000000 
	5.895833	-4.592730	0.000000	35.000000	26.271000	0.000000 
	5.896667	-4.592831	0.000000	35.000000	26.271000	0.000000 
	5.897500	-4.592932	0.000000	35.000000	26.271000	0.000000 
	5.898333	-4.593034	0.000000	35.000000	26.271000	0.000000 
	5.899167	-4.593135	0.000000	35.000000	26.270000	0.000000 
	5.900000	-4.593236	0.000000	35.000000	26.271000	0.000000 
	5.900833	-4.593338	0.000000	35.000000	26.271000	0.000000 
	5.901667	-4.593439	0.000000	35.000000	26.271000	0.000000 
	5.902500	-4.593540	0.000000	35.000000	26.271000	0.000000 
	5.903333	-4.593540	0.000000	35.000000	26.271000	0.000000 
	5.904167	-4.593642	0.000000	35.000000	26.271000	0.000000 
	5.905000	-4.593540	0.000000	35.000000	26.272000	0.000000 
	5.905833	-4.593540	0.000000	35.000000	26.272000	0.000000 
	5.906667	-4.593338	0.000000	35.000000	26.271000	0.000000 
	5.907500	-4.593135	0.000000	35.000000	26.272000	0.000000 
	5.908333	-4.592831	0.000000	35.000000	26.271000	0.000000 
	5.909167	-4.592527	0.000000	35.000000	26.270000	0.000000 
	5.910000	-4.592223	0.000000	35.000000	26.270000	0.000000 
	5.910833	-4.591919	0.000000	35.000000	26.269000	0.000000 
	5.911667	-4.591615	0.000000	35.000000	26.270000	0.000000 
	5.912500	-4.591514	0.000000	35.000000	26.270000	0.000000 
	5.913333	-4.591210	0.000000	35.000000	26.270000	0.000000 
	5.914167	-4.591210	0.000000	35.000000	26.270000	0.000000 
	5.915000	-4.591109	0.000000	35.000000	26.270000	0.000000 
	5.915833	-4.591007	0.000000	35.000000	26.270000	0.000000 
	5.916667	-4.591007	0.000000	35.000000	26.271000	0.000000 
	5.917500	-4.591007	0.000000	35.000000	26.271000	0.000000 
	5.918333	-4.591007	0.000000	35.000000	26.271000	0.000000 
	5.919167	-4.591109	0.000000	35.000000	26.271000	0.000000 
	5.920000	-4.590906	0.000000	35.000000	26.271000	0.000000 
	5.920833	-4.590906	0.000000	35.000000	26.271000	0.000000 
	5.921667	-4.590805	0.000000	35.000000	26.271000	0.000000 
	5.922500	-4.590703	0.000000	35.000000	26.271000	0.000000 
	5.923333	-4.590501	0.000000	35.000000	26.271000	0.000000 
	5.924167	-4.590399	0.000000	35.000000	26.270000	0.000000 
	5.925000	-4.590197	0.000000	35.000000	26.270000	0.000000 
	5.925833	-4.589893	0.000000	35.000000	26.270000	0.000000 
	5.926667	-4.589589	0.000000	35.000000	26.270000	0.000000 
	5.927500	-4.589386	0.000000	35.000000	26.271000	0.000000 
	5.928333	-4.589285	0.000000	35.000000	26.270000	0.000000 
	5.929167	-4.589285	0.000000	35.000000	26.270000	0.000000 
	5.930000	-4.589184	0.000000	35.000000	26.270000	0.000000 
	5.930833	-4.589285	0.000000	35.000000	26.270000	0.000000 
	5.931667	-4.589285	0.000000	35.000000	26.269000	0.000000 
	5.932500	-4.589386	0.000000	35.000000	26.270000	0.000000 
	5.933333	-4.589589	0.000000	35.000000	26.270000	0.000000 
	5.934167	-4.589589	0.000000	35.000000	26.271000	0.000000 
	5.935000	-4.589791	0.000000	35.000000	26.271000	0.000000 
	5.935833	-4.589893	0.000000	35.000000	26.271000	0.000000 
	5.936667	-4.589994	0.000000	35.000000	26.271000	0.000000 
	5.937500	-4.589994	0.000000	35.000000	26.272000	0.000000 
	5.938333	-4.589994	0.000000	35.000000	26.272000	0.000000 
	5.939167	-4.589893	0.000000	35.000000	26.272000	0.000000 
	5.940000	-4.589893	0.000000	35.000000	26.271000	0.000000 
	5.940833	-4.589791	0.000000	35.000000	26.271000	0.000000 
	5.941667	-4.589690	0.000000	35.000000	26.271000	0.000000 
	5.942500	-4.589488	0.000000	35.000000	26.271000	0.000000 
	5.943333	-4.589386	0.000000	35.000000	26.271000	0.000000 
	5.944167	-4.589082	0.000000	35.000000	26.270000	0.000000 
	5.945000	-4.588778	0.000000	35.000000	26.271000	0.000000 
	5.945833	-4.588576	0.000000	35.000000	26.271000	0.000000 
	5.946667	-4.588272	0.000000	35.000000	26.270000	0.000000 
	5.947500	-4.587968	0.000000	35.000000	26.270000	0.000000 
	5.948333	-4.587664	0.000000	35.000000	26.271000	0.000000 
	5.949167	-4.587461	0.000000	35.000000	26.271000	0.000000 
	5.950000	-4.587259	0.000000	35.000000	26.271000	0.000000 
	5.950833	-4.587056	0.000000	35.000000	26.271000	0.000000 
	5.951667	-4.586853	0.000000	35.000000	26.271000	0.000000 
	5.952500	-4.586651	0.000000	35.000000	26.272000	0.000000 
	5.953333	-4.586651	0.000000	35.000000	26.272000	0.000000 
	5.954167	-4.586549	0.000000	35.000000	26.272000	0.000000 
	5.955000	-4.586448	0.000000	35.000000	26.272000	0.000000 
	5.955833	-4.586347	0.000000	35.000000	26.273000	0.000000 
	5.956667	-4.586245	0.000000	35.000000	26.272000	0.000000 
